Reference number,Chemical_name,Common_name,"Used_for"
157,"cis -Rose ketone-1 (see note 16) (Z)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one  (cis-alpha-Damascone) ",,"(a) Oral products (b) Other products"
158,"trans -Rose ketone-2 (see note 16) (E)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one  (trans-beta-Damascone) ",TRANS-ROSE KETONE-2,"(a) Oral products (b) Other products"
159,"trans -Rose ketone-5 (see note 16) (E)-1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one  (Isodamascone)",TRANS-ROSE KETONE-5,
160,"Rose ketone -4 (see note 16) 1-(2,6,6-Trimethylcyclohexa-1,3-dien-1-yl)-2-buten-1-one  (Damascenone)",ROSE KETONE-4,"(a) Oral products (b) Other products"
161,"Rose ketone -3 (see note 16) 1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one (Delta-Damascone)",DELTA-DAMASCONE,"(a) Oral products (b) Other products"
162,"cis -Rose ketone-2 (see note 16) (Z)1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one (cis-beta-Damascone)",CIS-ROSE KETONE-2,"(a) Oral products (b) Other products"
163,"trans -Rose ketone-1 (see note 16) (E)1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one (trans-alpha-Damascone)",TRANS-ROSE KETONE-1,"(a) Oral products (b) Other products"
164,"Rose ketone -5 (see note 16) 1-(2,4,4-Trimethyl-2-cycloehexen-1-yl)-2-buten-1-one ",ROSE KETONE-5,
165,"trans -Rose ketone-3 (see note 16) 1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one (trans-delta-Damascone)",TRANS-ROSE KETONE-3,"(a) Oral products (b) Other products"
166,"trans -2-hexenal ",TRANS-2-HEXENAL,"(a) Oral products (b) Other products"
167,"l -Limonene (S)-p-Mentha-1,8-diene",LIMONENE,
168,"dl -Limonene (racemic); 1,8(9)-p-Menthadiene; p-Mentha-1,8-diene (Dipentene)",LIMONENE,
169,"p -Mentha-1,8-dien-7-al",PERILLALDEHYDE,"(a) Oral products (b) Other products"
170,Isobergamate; Menthadiene -7-methyl formate,ISOBERGAMATE,
171,"Methoxy dicyclopentadiene carboxaldehyde; Octahydro -5-methoxy-4,7-Methano-1H-indene-2-carboxaldehyde",SCENTENAL,
172,"3 -Methylnon-2-enenitrile ",3-METHYLNON-2-ENENITRILE,
173,Methyl octine carbonate; Methyl non -2-ynoate,METHYL OCTINE CARBONATE,"(a) Oral products (b) Others products"
174,Amylvinylcarbinyl acetate; 1 -Octen-3-yl acetate,AMYLVINYLCARBINYL ACETATE,"(a) Oral products (b) Other products"
175,Propylidenephthalide; 3 -Propylidenephthalide,PROPYLIDENE PHTHALIDE,"(a) Oral products (b) Other produts"
176,"Isocyclogeraniol; 2,4,6 -Trimethyl-3-cyclohexene-1-methanol",ISOCYCLOGERANIOL,
177,"2 -Hexylidene cyclopentanone ",,"(a) Oral products (b) Other products"
178,"Methyl heptadienone; 6 -Methyl-3,5-heptadien-2-one",METHYLHEPTADIENONE,"(a) Oral products (b) Other products"
179,p -methylhydrocinnamic aldehyde; Cresylpropionaldehyde; p-Methyldihydrocinnamaldehyde,P-METHYLHYDROCINNAMIC ALDEHYDE,
180,Liquidambar orientalis oil and extract (styrax),,
181,Liquidambar styraciflua oil and extract (styrax),,
182,"1 -(5,6,7,8-Tetrahydro-3,5,5,6,8,8,-hexamethyl-2-naphthyl)ethan-1-one (AHTN)",,"All cosmetic products with the exception of oral products"
183,"Commiphora erythrea engler var. glabrescens engler gum extract and oil ",OPOPONAX OIL,
184,"Opopanax chironium resin ",OPOPANAX CHIRONIUM RESIN EXTRACT,
185,"Toluene  ",TOLUENE,"Nail products"
186,"2,2' -oxydiethanol Diethylene glycol (DEG) ",DIETHYLENE GLYCOL,"As traces in ingredients"
187,Diethylene glycol monobutyl ether (DEGBE),BUTOXYDIGLYCOL,"Solvent in hair dye products"
188,Ethylene glycol monobutyl ether (EGBE),BUTOXYETHANOL,"a) Solvent in oxidative hair dye products b) Solvent in non -oxidative hair dye products  "
189,Trisodium 5 -hydroxy-1-(4-sulphophenyl)-4-(4-sulphophenylazo)pyrazole-3-carboxylate and aluminium lake (see note 17). CI 19140,CI 19140 / ACID YELLOW 23,"Hair dye substance in non -oxidative hair dye products"
190,"Benzenemethanaminium, N -ethyl-N-[4-[[4-[ethyl-[(3-sulfophenyl)-methyl]-amino]-phenyl](2-sulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-3-sulfo, inner salts, disodium salt and its ammonium and aluminium salts (15); Acid Blue  Acid Blue 9 Ammonium salt; CI 42090. (see note 17)",ACID BLUE 9,"Hair dye substance in non -oxidative hair dye products"
191,Disodium 6 -hydroxy-5-[(2-methoxy-4-sulphonato-m-tolyl)azo]naphthalene-2-sulphonate (15); CI 16035. (see note 17),CURRY RED,"Hair dye substance in non -oxidative hair dye products"
192,"Trisodium 1 -(1-naphthylazo)-2-hydroxynaphthalene-4',6,8-trisulphonate and aluminium lake  (Cl 16255) (see note 17).",ACID RED 18,"Hair dye substance in non -oxidative hair dye products"
193,"Hydrogen 3,6 -bis(diethylamino)-9-(2,4-disulphonatophenyl)xanthylium, sodium salt; CI 45100 (see note 17)",ACID RED 52,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
194,"Glyoxal ",GLYOXAL,
195,"Sodium 1 -amino-4-(cyclohexylamino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonate; CI 62045 (see note 17)",ACID BLUE 62,"Hair dye substance in non -oxidative hair dye products"
196,1 -[(2'-Methoxyethyl)amino]-2-nitro-4-[di-(2'-hydroxyethyl)amino]benzene (see note 17),HC BLUE NO. 11,"Hair dye substance in non -oxidative hair dye products "
196,"Verbena absolute (Lippia citriodora Kunth.)  ",,
197,Ethyl Lauroyl Arginate HCl,ETHYL LAUROYL ARGINATE HCL,"(a) soap (b) anti - dandruff shampoos (c) deodorants, not in form of spray"
198,"2,2′ -[(4-Aminophenyl))imino]bis (ethanol) sulphate; N,N-bis(2-Hydroxyethyl)- p-Phenylenediamine Sulfate ","N,N-BIS(2-HYDROXYETHYL)- P-PHENYLENEDIAMINE SULFATE ","Hair dye substance in oxidative hair dye products"
199,"1,3 -Benzenediol, 4-Chlororesorcinol ",4- CHLORORESORCINOL,"Hair dye substance in oxidative hair dye products"
200," 1 -Propanol, 3-[[4-[bis(2-hydroxyethyl)amino]-2-nitrophenyl]amino] (see note 17)",HC VIOLET NO. 2,"Hair dye substance in non -oxidative hair dye products"
200,"2,4,5,6 -Tetraaminopyrimidine sulphate",TETRAAMINOPYRIMIDINE SULFATE,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products (c) Products in­tended for col­ouring eyelashes"
201,"Phenol, 2 -Chloro-6-(ethylamino)-4-nitro- (see note 17)",2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL,"a) Hair dye substance in oxidative hair dye product b) Hair dye substance in non -oxidative hair dye product "
202,"4,4' -[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine and its tetrahydrochloride salt (see note 17)","1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE","(a) Hair dye substance in oxidative hair dye products  "
203,"6 -Methoxy-N2-methyl-2,3-pyridinediamine hydrochloride and dihydrochloride salt ",6-METHOXY-2-METHYLAMINO-3-AMINOPYRIDINE HCL,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products (c) Products intended for colouring eyelashes"
204,"2,3 -Dihydro-1H-indole-5,6-diol and its hydrobromide salt  (see note 17).",DIHYDROXYINDOLINE,"Hair dye substance in non -oxidative hair dye products"
205,1 -Hydroxy-3-nitro-4-(3-hydroxypropylamino)benzene (see note 17),4-HYDROXYPROPYLAMINO-3-NITROPHENOL,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products  "
206,3 -(2-Hydroxyethyl)-p- phenylenediammonium sulphate,HYDROXYETHYL-P-PHENYLENE-DIAMINE SULFATE,"(a) Hair dye sub­stance in oxidat­ive hair dye products (b) Products in­tended for col­ouring eyelashes"
207,"1H -Indole-5,6-diol",DIHYDROXY-INDOLE,"(a) Hair dye substance in oxidative hair dye products"
208,"1 -(beta-Aminoethyl)amino-4-(beta-hydroxyethyl)oxy-2-nitrobenzene and its salts ",HC ORANGE NO. 2,"Hair dye substance in non -oxidative hair dye products"
208,5 -Amino-4-chloro-2-methylphenol hydrochloride,5-AMINO-4-CHLORO-O-CRESOL HCL,"Hair dye substance in oxidative hair dye products"
209,"1H -Indol-6-ol ",6-HYDROXY-INDOLE,"Hair dye substance in oxidative hair dye products"
210,"1H -Indole-2,3-Dione",ISATIN,"Hair dye substance in non -oxidative hair dye products"
210,"1H -Indole-2,3-Dione",,"Hair dye substance in non -oxidative hair dye products"
211,"2 -Aminopyridin-3-ol; 2-Amino-3-Hydroxypyridine ",2-AMINO-3-HYDROXYPYRIDINE,"(a) Hair dye sub­stance in oxidat­ive hair dye products (b) Products in­tended for col­ouring eyelashes"
212,2 -Methyl-1-naphthyl acetate,1-ACETOXY-2-METHYLNAPH-THALENE,"Hair dye substance in oxidative hair dye products"
213,1 -Hydroxy-2-methylnaphthalene,"2-METHYL-1-NAPHTHOL ","Hair dye substance in oxidative hair dye products"
214,"Disodium 5,7 -dinitro-8-oxido-2- naphthalenesulfonate CI 1036",ACID YELLOW 1,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
215,"4 -Amino-3-nitrophenol ",4-AMINO-3-NITROPHENOL,"(a) Hair dye substance in oxidative hair dye products (b)Hair dye substance in non -oxidative hair dye products "
216,"Naphthalene -2,7-diol","2,7-NAPHTHALENEDIOL","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non - oxidative hair dye products"
217,m -Aminophenol and its salts,M-AMINOPHENOL; M-AMINOPHENOL HCL; M-AMINOPHENOL SULFATE,"(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes"
218,"6 -Hydroxy-3,4- dimethyl-2-pyridone","2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE ","Hair dye substance in oxidative hair dye products"
221,"2 -(4-Methyl-2-nitroanilino)ethanol ",HYDROXYETHYL-2-NITRO-P-TOLUIDINE,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
221,Hydroxyethyl -2-nitro-p-toluidine and its salts,HYDROXYETHYL-2-NITRO-P-TOLUIDINE,"(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products "
222,"1 -Hydroxy-2-beta-hydroxyethylamino-4,6-dinitrobenzene ",2-HYDROXYETHYL PICRAMIC ACID,"(a) Hair dye substance in oxidative hair day products  (b) Hair dye substance in non -oxidative hair day products  "
223,4 -Methylaminophenol and its salts,P-METHYLAMINOPHENOL,"Hair dye in oxidative hair dye products"
225,1 -(beta-Hydroxyethyl)amino-2-nitro-4-N-ethyl-N-(beta-hydroxyethyl)aminobenzene and its hydrocloride,HC BLUE NO. 12,"(a) Hair dye substance in oxidative hair dye products (b)  Hair dye substance in non -oxidative hair dye products "
227,"3 -Amino-2,4-dichlorophenol and its hydrochloride","3-AMINO-2,4-DICHLOROPHENOL","(a) Hair dye substance oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products"
228,"3 -Methyl-1-phenyl-5-pyrazolone ",PHENYL METHYL PYRAZOLONE,"Hair dye subtance in oxidative hair dye products"
229,"5 -[(2-hydroxyethyl)amino]-o-cresol ",2-METHYL-5-HYDROXYETHYL AMINOPHENOL,"(a) Hair dye substance in oxidatie hair dye products. (b) Products intended for colouring eyelashes"
230,"2.3 -Dihydro-2H-1,4-benzoxazin-6-ol ",HYDROXYBENZOMORPHOLINE,"Hair dye substance in oxidative hair dye products"
231,"1,5 -Di-(beta-hydroxyethylamino)-2-nitro-4-chlorobenzene (see note 17)",HC YELLOW NO. 10,"Hair dye substance in non -oxidative hair dyes products "
